<TICKER>,<DTYYYYMMDD>,<CLOSE>
فملي-ت,20181113,1086.00
فملي-ت,20181114,1077.09
فملي-ت,20181117,1060.06
فملي-ت,20181118,1025.73
فملي-ت,20181119,1047.74
فملي-ت,20181120,1051.67
فملي-ت,20181121,1046.69
فملي-ت,20181124,997.69
فملي-ت,20181126,981.44
فملي-ت,20181127,992.97
فملي-ت,20181128,985.37
فملي-ت,20181201,965.72
فملي-ت,20181202,1004.24
فملي-ت,20181203,1054.29
فملي-ت,20181204,1050.63
فملي-ت,20181205,1055.60
فملي-ت,20181208,1054.56
فملي-ت,20181209,1052.46
فملي-ت,20181210,1040.93
فملي-ت,20181211,1032.28
فملي-ت,20181212,1023.37
فملي-ت,20181215,1022.58
فملي-ت,20181216,1010.27
فملي-ت,20181217,981.18
فملي-ت,20181218,981.18
فملي-ت,20181219,981.18
فملي-ت,20181222,981.18
فملي-ت,20181223,981.18
فملي-ت,20181224,1008.43
فملي-ت,20181225,988.33
فملي-ت,20181226,987.65
فملي-ت,20181229,1001.62
فملي-ت,20181230,987.99
فملي-ت,20181231,984.58
فملي-ت,20190101,974.36
فملي-ت,20190102,954.95
فملي-ت,20190105,933.82
فملي-ت,20190106,917.13
فملي-ت,20190107,929.05
فملي-ت,20190108,955.63
فملي-ت,20190109,965.85
فملي-ت,20190112,963.12
فملي-ت,20190113,951.20
فملي-ت,20190114,954.26
فملي-ت,20190115,950.18
فملي-ت,20190116,940.98
فملي-ت,20190119,954.95
فملي-ت,20190120,946.77
فملي-ت,20190121,934.50
فملي-ت,20190122,933.14
فملي-ت,20190123,925.99
فملي-ت,20190126,936.89
فملي-ت,20190127,924.62
فملي-ت,20190128,906.57
فملي-ت,20190129,917.47
فملي-ت,20190130,918.83
فملي-ت,20190202,915.77
فملي-ت,20190203,905.20
فملي-ت,20190204,912.70
فملي-ت,20190205,953.24
فملي-ت,20190206,966.87
فملي-ت,20190210,963.80
فملي-ت,20190212,956.99
فملي-ت,20190213,949.49
فملي-ت,20190216,948.47
فملي-ت,20190217,939.95
فملي-ت,20190218,963.46
فملي-ت,20190219,1006.73
فملي-ت,20190220,1052.72
فملي-ت,20190223,1104.17
فملي-ت,20190224,1132.78
فملي-ت,20190225,1156.29
فملي-ت,20190226,1137.55
فملي-ت,20190227,1130.40
فملي-ت,20190302,1115.41
فملي-ت,20190303,1134.83
فملي-ت,20190304,1155.27
فملي-ت,20190305,1125.63
فملي-ت,20190306,1135.51
فملي-ت,20190309,1126.99
فملي-ت,20190310,1167.19
فملي-ت,20190311,1215.23
فملي-ت,20190312,1237.03
فملي-ت,20190313,1245.21
فملي-ت,20190316,1233.97
فملي-ت,20190317,1234.65
فملي-ت,20190318,1288.82
فملي-ت,20190319,1315.39
فملي-ت,20190325,1299.72
فملي-ت,20190326,1290.86
فملي-ت,20190327,1306.19
فملي-ت,20190330,1342.99
فملي-ت,20190331,1326.63
فملي-ت,20190406,1312.67
فملي-ت,20190407,1317.78
فملي-ت,20190408,1346.05
فملي-ت,20190409,1366.84
فملي-ت,20190410,1424.07
فملي-ت,20190413,1408.06
فملي-ت,20190414,1395.11
فملي-ت,20190415,1420.66
فملي-ت,20190416,1387.28
فملي-ت,20190417,1366.84
فملي-ت,20190420,1367.18
فملي-ت,20190422,1356.61
فملي-ت,20190423,1349.12
فملي-ت,20190424,1348.44
فملي-ت,20190427,1347.08
فملي-ت,20190428,1379.10
فملي-ت,20190429,1419.64
فملي-ت,20190430,1434.97
فملي-ت,20190501,1459.50
فملي-ت,20190504,1467.34
فملي-ت,20190505,1473.13
فملي-ت,20190506,1404.65
فملي-ت,20190507,1364.79
فملي-ت,20190508,1406.36
فملي-ت,20190511,1365.13
فملي-ت,20190512,1348.10
فملي-ت,20190513,1381.83
فملي-ت,20190514,1379.10
فملي-ت,20190515,1363.43
فملي-ت,20190518,1342.65
فملي-ت,20190519,1335.49
فملي-ت,20190520,1333.11
فملي-ت,20190521,1362.41
فملي-ت,20190522,1346.73
فملي-ت,20190525,1334.47
فملي-ت,20190526,1362.41
فملي-ت,20190528,1429.86
فملي-ت,20190529,1432.93
فملي-ت,20190601,1373.99
فملي-ت,20190602,1377.40
فملي-ت,20190603,1385.57
فملي-ت,20190608,1376.03
فملي-ت,20190609,1380.12
فملي-ت,20190610,1381.48
فملي-ت,20190611,1382.17
فملي-ت,20190612,1406.36
فملي-ت,20190615,1389.66
فملي-ت,20190616,1396.48
فملي-ت,20190617,1398.52
فملي-ت,20190618,1392.73
فملي-ت,20190619,1427.48
فملي-ت,20190622,1435.65
فملي-ت,20190623,1450.99
فملي-ت,20190624,1507.88
فملي-ت,20190625,1566.82
فملي-ت,20190626,1607.70
فملي-ت,20190630,1606.68
فملي-ت,20190701,1597.14
فملي-ت,20190702,1575.00
فملي-ت,20190703,1539.90
فملي-ت,20190706,1524.57
فملي-ت,20190707,1532.75
فملي-ت,20190708,1526.62
فملي-ت,20190709,1523.21
فملي-ت,20190710,1523.89
فملي-ت,20190713,1505.49
فملي-ت,20190714,1505.49
فملي-ت,20190715,1505.49
فملي-ت,20190716,1505.49
فملي-ت,20190717,1505.49
فملي-ت,20190720,1464.94
فملي-ت,20190721,1489.98
فملي-ت,20190722,1564.39
فملي-ت,20190723,1590.13
فملي-ت,20190724,1620.81
فملي-ت,20190727,1584.84
فملي-ت,20190728,1590.49
فملي-ت,20190729,1595.78
فملي-ت,20190730,1589.07
فملي-ت,20190731,1591.54
فملي-ت,20190803,1537.59
فملي-ت,20190804,1521.36
فملي-ت,20190805,1485.75
فملي-ت,20190806,1467.41
فملي-ت,20190807,1475.52
فملي-ت,20190810,1458.94
فملي-ت,20190811,1464.94
فملي-ت,20190813,1459.30
فملي-ت,20190814,1494.21
فملي-ت,20190817,1473.05
فملي-ت,20190818,1460.00
فملي-ت,20190819,1464.94
فملي-ت,20190821,1465.64
فملي-ت,20190824,1452.60
فملي-ت,20190825,1447.66
فملي-ت,20190826,1483.98
فملي-ت,20190827,1502.67
فملي-ت,20190828,1525.95
فملي-ت,20190831,1597.54
فملي-ت,20190901,1643.03
فملي-ت,20190902,1608.47
فملي-ت,20190903,1619.76
فملي-ت,20190904,1643.03
فملي-ت,20190907,1695.93
فملي-ت,20190908,1712.50
فملي-ت,20190911,1746.36
فملي-ت,20190914,1798.91
فملي-ت,20190915,1764.70
فملي-ت,20190916,1768.93
فملي-ت,20190917,1746.71
فملي-ت,20190918,1717.44
فملي-ت,20190921,1761.88
فملي-ت,20190922,1831.70
فملي-ت,20190923,1919.51
فملي-ت,20190924,1920.93
فملي-ت,20190925,1913.87
فملي-ت,20190928,1933.97
فملي-ت,20190929,1900.12
فملي-ت,20190930,1911.40
فملي-ت,20191001,1854.27
فملي-ت,20191002,1838.05
فملي-ت,20191005,1825.00
فملي-ت,20191006,1762.23
فملي-ت,20191007,1762.58
فملي-ت,20191008,1741.07
فملي-ت,20191009,1761.88
فملي-ت,20191012,1836.99
فملي-ت,20191013,1907.52
فملي-ت,20191014,1908.58
فملي-ت,20191015,1871.91
فملي-ت,20191016,1881.08
فملي-ت,20191020,1836.29
فملي-ت,20191021,1884.25
فملي-ت,20191022,1910.35
فملي-ت,20191023,1892.71
فملي-ت,20191026,1895.89
فملي-ت,20191028,1898.36
فملي-ت,20191030,1900.82
فملي-ت,20191102,1889.54
فملي-ت,20191103,1880.02
فملي-ت,20191104,1871.20
فملي-ت,20191105,1873.67
فملي-ت,20191109,1877.20
فملي-ت,20191110,1872.26
فملي-ت,20191111,1866.26
فملي-ت,20191112,1870.85
فملي-ت,20191113,1854.27
فملي-ت,20191116,1851.10
فملي-ت,20191117,1864.15
فملي-ت,20191118,1863.44
فملي-ت,20191119,1857.09
فملي-ت,20191120,1859.21
فملي-ت,20191123,1844.75
فملي-ت,20191124,1841.93
فملي-ت,20191125,1840.17
فملي-ت,20191126,1854.27
فملي-ت,20191127,1892.36
فملي-ت,20191130,1877.20
فملي-ت,20191201,1960.07
فملي-ت,20191202,2035.54
فملي-ت,20191203,2041.53
فملي-ت,20191204,2040.48
فملي-ت,20191207,2139.57
فملي-ت,20191208,2178.72
فملي-ت,20191209,2149.09
فملي-ت,20191210,2148.04
فملي-ت,20191211,2153.33
فملي-ت,20191214,2225.97
فملي-ت,20191215,2266.18
فملي-ت,20191216,2265.82
فملي-ت,20191217,2265.82
فملي-ت,20191218,2284.16
فملي-ت,20191221,2293.33
فملي-ت,20191222,2325.78
فملي-ت,20191223,2353.64
فملي-ت,20191224,2351.17
فملي-ت,20191225,2346.94
فملي-ت,20191228,2387.14
فملي-ت,20191229,2387.14
فملي-ت,20191230,2394.90
فملي-ت,20191231,2390.31
فملي-ت,20200101,2505.98
فملي-ت,20200104,2383.61
فملي-ت,20200105,2435.10
فملي-ت,20200107,2438.98
فملي-ت,20200108,2393.49
فملي-ت,20200111,2441.10
فملي-ت,20200112,2557.12
فملي-ت,20200113,2601.91
فملي-ت,20200114,2647.05
فملي-ت,20200115,2705.94
فملي-ت,20200118,2705.94
فملي-ت,20200119,2705.94
فملي-ت,20200120,2705.94
فملي-ت,20200121,2705.94
فملي-ت,20200122,2837.07
فملي-ت,20200125,2804.06
فملي-ت,20200126,2782.05
فملي-ت,20200127,2779.30
فملي-ت,20200128,2799.93
فملي-ت,20200201,2705.94
فملي-ت,20200202,2827.90
فملي-ت,20200203,2923.26
فملي-ت,20200204,2931.97
فملي-ت,20200205,2901.25
فملي-ت,20200208,2880.62
فملي-ت,20200209,2858.61
فملي-ت,20200210,2838.90
فملي-ت,20200212,2909.96
فملي-ت,20200215,2897.59
فملي-ت,20200216,3010.83
فملي-ت,20200217,3125.45
فملي-ت,20200218,3118.57
فملي-ت,20200219,3124.99
فملي-ت,20200222,3132.33
فملي-ت,20200223,3233.19
فملي-ت,20200224,3274.45
فملي-ت,20200225,3325.35
فملي-ت,20200226,3418.88
فملي-ت,20200229,3264.37
فملي-ت,20200301,3260.70
فملي-ت,20200302,3329.01
فملي-ت,20200303,3442.72
فملي-ت,20200304,3552.29
فملي-ت,20200307,3592.18
فملي-ت,20200309,3423.46
فملي-ت,20200310,3292.34
فملي-ت,20200311,3366.61
فملي-ت,20200314,3109.40
فملي-ت,20200315,3149.29
فملي-ت,20200316,3296.00
فملي-ت,20200317,3289.13
فملي-ت,20200318,3250.61
فملي-ت,20200324,3095.65
فملي-ت,20200325,3143.79
فملي-ت,20200328,3153.42
فملي-ت,20200329,3254.28
فملي-ت,20200330,3225.40
