<TICKER>,<DTYYYYMMDD>,<CLOSE>
حكشتي-ت,20190917,4612.63
حكشتي-ت,20190918,4490.31
حكشتي-ت,20190921,4614.87
حكشتي-ت,20190922,4637.25
حكشتي-ت,20190923,4799.11
حكشتي-ت,20190924,4838.64
حكشتي-ت,20190925,5019.89
حكشتي-ت,20190928,5267.53
حكشتي-ت,20190929,5424.17
حكشتي-ت,20190930,5694.93
حكشتي-ت,20191001,5841.87
حكشتي-ت,20191002,5618.10
حكشتي-ت,20191005,5495.78
حكشتي-ت,20191006,5234.71
حكشتي-ت,20191007,5205.62
حكشتي-ت,20191008,5085.53
حكشتي-ت,20191009,4957.24
حكشتي-ت,20191012,5057.94
حكشتي-ت,20191013,5016.16
حكشتي-ت,20191014,4781.95
حكشتي-ت,20191015,4597.72
حكشتي-ت,20191016,4530.59
حكشتي-ت,20191020,4346.35
حكشتي-ت,20191021,4346.35
حكشتي-ت,20191022,4346.35
حكشتي-ت,20191023,4155.32
حكشتي-ت,20191026,3991.27
حكشتي-ت,20191028,4168.81
حكشتي-ت,20191030,4310.39
حكشتي-ت,20191102,4224.24
حكشتي-ت,20191103,4196.53
حكشتي-ت,20191104,4025.73
حكشتي-ت,20191105,4110.38
حكشتي-ت,20191109,4237.73
حكشتي-ت,20191110,4153.08
حكشتي-ت,20191111,4174.80
حكشتي-ت,20191112,4280.43
حكشتي-ت,20191113,4265.44
حكشتي-ت,20191116,4165.06
حكشتي-ت,20191117,4012.24
حكشتي-ت,20191118,4006.25
حكشتي-ت,20191119,4114.87
حكشتي-ت,20191120,4296.16
حكشتي-ت,20191123,4509.65
حكشتي-ت,20191124,4723.15
حكشتي-ت,20191125,4959.12
حكشتي-ت,20191126,4943.39
حكشتي-ت,20191127,4904.44
حكشتي-ت,20191130,4881.21
حكشتي-ت,20191201,4939.65
حكشتي-ت,20191202,4840.01
حكشتي-ت,20191203,4860.99
حكشتي-ت,20191204,5058.75
حكشتي-ت,20191207,5250.53
حكشتي-ت,20191208,5243.04
حكشتي-ت,20191209,5154.64
حكشتي-ت,20191210,5106.70
حكشتي-ت,20191211,5053.51
حكشتي-ت,20191214,4995.08
حكشتي-ت,20191215,5026.54
حكشتي-ت,20191216,5016.80
حكشتي-ت,20191217,5259.52
حكشتي-ت,20191218,5174.87
حكشتي-ت,20191221,5156.14
حكشتي-ت,20191222,5170.37
حكشتي-ت,20191223,5191.35
حكشتي-ت,20191224,5138.91
حكشتي-ت,20191225,5069.99
حكشتي-ت,20191228,5318.70
حكشتي-ت,20191229,5553.92
حكشتي-ت,20191230,5790.64
حكشتي-ت,20191231,5568.15
حكشتي-ت,20200101,5557.66
حكشتي-ت,20200104,5280.49
حكشتي-ت,20200105,5016.80
حكشتي-ت,20200107,4771.84
حكشتي-ت,20200108,4676.71
حكشتي-ت,20200111,4768.10
حكشتي-ت,20200112,5006.32
حكشتي-ت,20200113,5217.57
حكشتي-ت,20200114,5295.47
حكشتي-ت,20200115,5299.97
حكشتي-ت,20200118,5563.66
حكشتي-ت,20200119,5841.58
حكشتي-ت,20200120,6132.98
حكشتي-ت,20200121,6428.13
حكشتي-ت,20200122,6729.27
حكشتي-ت,20200125,7062.63
حكشتي-ت,20200126,7392.24
حكشتي-ت,20200127,7761.55
حكشتي-ت,20200128,7761.55
حكشتي-ت,20200201,7761.55
حكشتي-ت,20200202,8542.87
حكشتي-ت,20200203,8969.87
حكشتي-ت,20200204,9417.84
حكشتي-ت,20200205,9888.28
حكشتي-ت,20200208,10351.98
حكشتي-ت,20200209,10644.13
حكشتي-ت,20200210,11008.20
حكشتي-ت,20200212,11463.66
حكشتي-ت,20200215,11046.41
حكشتي-ت,20200216,11563.29
حكشتي-ت,20200217,11695.14
حكشتي-ت,20200218,11559.55
حكشتي-ت,20200219,12041.98
حكشتي-ت,20200222,12621.79
حكشتي-ت,20200223,13252.54
حكشتي-ت,20200224,13252.54
حكشتي-ت,20200225,13252.54
حكشتي-ت,20200226,14168.71
حكشتي-ت,20200229,13466.79
حكشتي-ت,20200301,13049.53
حكشتي-ت,20200302,13567.17
حكشتي-ت,20200303,14153.72
حكشتي-ت,20200304,13994.91
حكشتي-ت,20200307,13538.70
حكشتي-ت,20200309,13463.79
حكشتي-ت,20200310,13414.35
حكشتي-ت,20200311,12743.90
حكشتي-ت,20200314,12640.52
حكشتي-ت,20200315,12114.64
حكشتي-ت,20200316,11596.26
حكشتي-ت,20200317,11185.74
حكشتي-ت,20200318,11698.13
حكشتي-ت,20200324,12202.29
حكشتي-ت,20200325,12801.58
حكشتي-ت,20200328,13424.09
حكشتي-ت,20200329,13633.09
حكشتي-ت,20200330,13011.33
حكشتي-ت,20200404,13571.66
حكشتي-ت,20200405,13110.96
حكشتي-ت,20200406,12615.05
حكشتي-ت,20200407,13182.87
حكشتي-ت,20200408,13824.11
حكشتي-ت,20200411,14514.80
حكشتي-ت,20200412,15114.83
حكشتي-ت,20200413,15869.94
حكشتي-ت,20200414,16298.43
حكشتي-ت,20200415,17112.72
حكشتي-ت,20200418,17962.96
حكشتي-ت,20200419,18545.77
حكشتي-ت,20200420,19195.25
حكشتي-ت,20200421,20006.54
حكشتي-ت,20200422,20006.54
حكشتي-ت,20200425,20006.54
حكشتي-ت,20200426,20006.54
حكشتي-ت,20200427,20006.54
حكشتي-ت,20200428,20006.54
حكشتي-ت,20200429,21993.18
حكشتي-ت,20200502,23089.13
حكشتي-ت,20200503,24243.51
حكشتي-ت,20200504,23855.47
حكشتي-ت,20200505,23090.63
حكشتي-ت,20200506,22027.64
حكشتي-ت,20200509,23062.91
حكشتي-ت,20200510,23380.54
حكشتي-ت,20200511,22309.31
حكشتي-ت,20200512,21193.88
حكشتي-ت,20200513,19330.09
حكشتي-ت,20200516,18170.46
حكشتي-ت,20200517,19078.39
حكشتي-ت,20200518,20032.01
حكشتي-ت,20200519,21033.57
حكشتي-ت,20200520,22084.57
حكشتي-ت,20200523,22908.60
حكشتي-ت,20200526,22908.60
حكشتي-ت,20200527,22908.60
حكشتي-ت,20200530,22908.60
حكشتي-ت,20200531,22908.60
حكشتي-ت,20200601,22908.60
حكشتي-ت,20200602,26722.47
حكشتي-ت,20200606,26475.75
حكشتي-ت,20200607,27763.95
حكشتي-ت,20200608,27219.81
حكشتي-ت,20200609,25945.26
حكشتي-ت,20200610,25271.42
حكشتي-ت,20200613,26456.25
حكشتي-ت,20200614,25705.37
حكشتي-ت,20200615,26387.99
حكشتي-ت,20200616,27704.46
حكشتي-ت,20200620,29089.20
حكشتي-ت,20200621,30542.20
حكشتي-ت,20200622,31975.69
حكشتي-ت,20200623,33565.21
حكشتي-ت,20200624,35242.50
حكشتي-ت,20200627,36997.79
حكشتي-ت,20200628,38840.86
حكشتي-ت,20200629,38811.60
حكشتي-ت,20200630,40440.13
حكشتي-ت,20200701,40440.13
حكشتي-ت,20200704,40440.13
حكشتي-ت,20200705,40440.13
حكشتي-ت,20200706,42458.72
حكشتي-ت,20200707,44574.83
حكشتي-ت,20200708,45842.55
حكشتي-ت,20200711,46544.67
حكشتي-ت,20200712,48865.56
حكشتي-ت,20200713,51303.48
حكشتي-ت,20200714,53868.16
حكشتي-ت,20200715,56267.07
