<TICKER>,<DTYYYYMMDD>,<CLOSE>
همراه-ت,20181027,7574.99
همراه-ت,20181028,7518.76
همراه-ت,20181029,7549.25
همراه-ت,20181031,7558.75
همراه-ت,20181103,7596.37
همراه-ت,20181104,7602.71
همراه-ت,20181105,7602.71
همراه-ت,20181106,7590.04
همراه-ت,20181110,7670.42
همراه-ت,20181111,7553.61
همراه-ت,20181112,7597.16
همراه-ت,20181113,7593.20
همراه-ت,20181114,7549.25
همراه-ت,20181117,7423.73
همراه-ت,20181118,7474.41
همراه-ت,20181119,7496.59
همراه-ت,20181120,7534.20
همراه-ت,20181121,7527.87
همراه-ت,20181124,7449.46
همراه-ت,20181126,7523.12
همراه-ت,20181127,7522.72
همراه-ت,20181128,7514.01
همراه-ت,20181201,7614.19
همراه-ت,20181202,7582.91
همراه-ت,20181203,7549.65
همراه-ت,20181204,7553.21
همراه-ت,20181205,7555.19
همراه-ت,20181208,7595.97
همراه-ت,20181209,7576.18
همراه-ت,20181210,7596.37
همراه-ت,20181211,7589.64
همراه-ت,20181212,7575.78
همراه-ت,20181215,7574.20
همراه-ت,20181216,7537.37
همراه-ت,20181217,7493.81
همراه-ت,20181218,7518.36
همراه-ت,20181219,7493.42
همراه-ت,20181222,7506.88
همراه-ت,20181223,7511.63
همراه-ت,20181224,7521.14
همراه-ت,20181225,7520.34
همراه-ت,20181226,7516.38
همراه-ت,20181229,7514.80
همراه-ت,20181230,7508.46
همراه-ت,20181231,7522.32
همراه-ت,20190101,7497.77
همراه-ت,20190102,7506.09
همراه-ت,20190105,7496.59
همراه-ت,20190106,7491.04
همراه-ت,20190107,7494.21
همراه-ت,20190108,7523.12
همراه-ت,20190109,7520.34
همراه-ت,20190112,7547.27
همراه-ت,20190113,7529.06
همراه-ت,20190114,7542.91
همراه-ت,20190115,7544.50
همراه-ت,20190116,7541.33
همراه-ت,20190119,7529.45
همراه-ت,20190120,7525.10
همراه-ت,20190121,7445.50
همراه-ت,20190122,7493.02
همراه-ت,20190123,7474.01
همراه-ت,20190126,7448.67
همراه-ت,20190127,7367.89
همراه-ت,20190128,7400.76
همراه-ت,20190129,7396.40
همراه-ت,20190130,7362.75
همراه-ت,20190202,7356.01
همراه-ت,20190203,7289.89
همراه-ت,20190204,7307.71
همراه-ت,20190205,7329.88
همراه-ت,20190206,7326.32
همراه-ت,20190210,7321.96
همراه-ت,20190212,7318.40
همراه-ت,20190213,7313.25
همراه-ت,20190216,7312.46
همراه-ت,20190217,7301.37
همراه-ت,20190218,7300.18
همراه-ت,20190219,7284.74
همراه-ت,20190220,7280.78
همراه-ت,20190223,7270.88
همراه-ت,20190224,7229.70
همراه-ت,20190225,7229.30
همراه-ت,20190226,7222.57
همراه-ت,20190227,7223.36
همراه-ت,20190302,7230.49
همراه-ت,20190303,7228.51
همراه-ت,20190304,7214.26
همراه-ت,20190305,7206.34
همراه-ت,20190306,7203.96
همراه-ت,20190309,7234.05
همراه-ت,20190310,7204.36
همراه-ت,20190311,7227.72
همراه-ت,20190312,7207.13
همراه-ت,20190313,7202.38
همراه-ت,20190316,7222.97
همراه-ت,20190317,7217.03
همراه-ت,20190318,7212.67
همراه-ت,20190319,7255.44
همراه-ت,20190325,7415.01
همراه-ت,20190326,7528.26
همراه-ت,20190327,7533.01
