<TICKER>,<DTYYYYMMDD>,<CLOSE>
شپنا-ت,20190415,2460.28
شپنا-ت,20190416,2404.08
شپنا-ت,20190417,2374.92
شپنا-ت,20190420,2416.54
شپنا-ت,20190422,2437.23
شپنا-ت,20190423,2399.61
شپنا-ت,20190424,2411.84
شپنا-ت,20190427,2422.65
شپنا-ت,20190428,2540.46
شپنا-ت,20190429,2663.20
شپنا-ت,20190430,2636.16
شپنا-ت,20190501,2679.66
شپنا-ت,20190504,2702.00
شپنا-ت,20190505,2632.16
شپنا-ت,20190506,2506.83
شپنا-ت,20190507,2384.32
شپنا-ت,20190508,2419.83
شپنا-ت,20190511,2326.25
شپنا-ت,20190512,2251.94
شپنا-ت,20190513,2349.29
شپنا-ت,20190514,2459.10
شپنا-ت,20190515,2448.05
شپنا-ت,20190518,2468.98
شپنا-ت,20190519,2504.25
شپنا-ت,20190520,2440.05
شپنا-ت,20190521,2452.28
شپنا-ت,20190522,2423.59
شپنا-ت,20190525,2355.87
شپنا-ت,20190526,2371.39
شپنا-ت,20190528,2444.76
شپنا-ت,20190529,2450.16
شپنا-ت,20190601,2450.16
شپنا-ت,20190602,2449.69
شپنا-ت,20190603,2474.38
شپنا-ت,20190608,2457.69
شپنا-ت,20190609,2470.15
شپنا-ت,20190610,2463.57
شپنا-ت,20190611,2452.75
شپنا-ت,20190612,2477.21
شپنا-ت,20190615,2460.04
شپنا-ت,20190616,2562.09
شپنا-ت,20190617,2581.14
شپنا-ت,20190618,2526.11
شپنا-ت,20190619,2509.89
شپنا-ت,20190622,2560.68
شپنا-ت,20190623,2603.24
شپنا-ت,20190624,2656.38
شپنا-ت,20190625,2674.02
شپنا-ت,20190626,2747.38
شپنا-ت,20190630,2722.93
شپنا-ت,20190701,2697.53
شپنا-ت,20190702,2682.72
شپنا-ت,20190703,2679.43
شپنا-ت,20190706,2618.29
شپنا-ت,20190707,2717.99
شپنا-ت,20190708,2706.70
شپنا-ت,20190709,2663.91
شپنا-ت,20190710,2648.39
شپنا-ت,20190713,2699.18
شپنا-ت,20190714,2756.32
شپنا-ت,20190715,2754.67
شپنا-ت,20190716,2754.67
شپنا-ت,20190717,2754.67
شپنا-ت,20190720,2754.67
شپنا-ت,20190721,2821.55
شپنا-ت,20190722,2930.32
شپنا-ت,20190723,2880.35
شپنا-ت,20190724,2898.02
شپنا-ت,20190727,2888.93
شپنا-ت,20190728,2866.73
شپنا-ت,20190729,2839.22
شپنا-ت,20190730,2809.44
شپنا-ت,20190731,2852.09
شپنا-ت,20190803,2840.48
شپنا-ت,20190804,2826.85
شپنا-ت,20190805,2815.75
شپنا-ت,20190806,2736.75
شپنا-ت,20190807,2661.80
شپنا-ت,20190810,2643.63
شپنا-ت,20190811,2630.76
شپنا-ت,20190813,2641.35
شپنا-ت,20190814,2698.90
شپنا-ت,20190817,2680.47
شپنا-ت,20190818,2813.98
شپنا-ت,20190819,2919.98
شپنا-ت,20190821,2958.34
شپنا-ت,20190824,3080.99
شپنا-ت,20190825,3054.24
شپنا-ت,20190826,3074.18
شپنا-ت,20190827,3103.71
شپنا-ت,20190828,3104.97
شپنا-ت,20190831,3185.48
شپنا-ت,20190901,3295.26
شپنا-ت,20190902,3315.95
شپنا-ت,20190903,3315.70
شپنا-ت,20190904,3346.74
شپنا-ت,20190907,3433.56
شپنا-ت,20190908,3487.57
شپنا-ت,20190911,3500.94
